lon,short_name,name,eightd_station_services,capacity,eightd_has_key_dispenser,has_kiosk,station_type,lat,electric_bike_surcharge_waiver,legacyID,stationID,externalID,dockless_bikes_parking_zone_capacity,address,rack_model,region_code,client_station_id
-87.6996576,undefined,Sacramento Ave & Pershing Rd,[],9,false,false,lightweight,41.8222791,false,1582242319632586318,1582242319632586318,motivate_CHI_1582242319632586318,9,"Nathan S. Davis Elementary School, West Pershing Road, Corwith, Brighton Park, Chicago, Lake Township, Cook County, Illinois, 60632, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1582242319632586318
-87.748223,undefined,Lamon Ave & Chicago Ave,[],9,false,false,lightweight,41.8952,false,1575949493798695614,1575949493798695614,motivate_CHI_1575949493798695614,9,"817, North Lamon Avenue, Moreland, Austin, Chicago, Cook County, Illinois, 60651, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1575949493798695614
-87.702988,undefined,Sacramento Blvd & Addison St,[],9,false,false,lightweight,41.94609,false,1594046413873042136,1594046413873042136,motivate_CHI_1594046413873042136,9,"3601, North Sacramento Avenue, Addison Mall, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60625, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1594046413873042136
-87.8010646,undefined,Sayre & Diversey,[],9,false,false,lightweight,41.9310084,false,1563698722681128992,1563698722681128992,motivate_CHI_1563698722681128992,9,"7000-7002, West Diversey Avenue, Beat 2512, Montclare, Chicago, Jefferson Township, Cook County, Illinois, 60707, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1563698722681128992
-87.648484,undefined,N Green St & W Lake St,[],8,false,false,lightweight,41.885579,false,1436495109493626546,1436495109493626546,motivate_CHI_1436495109493626546,8,"817, West Lake Street, Near West Side, Chicago, Cook County, Illinois, 60661, United States of America",CITY_PILOT_RACK,CHI,motivate_CHI_1436495109493626546
-87.690957,undefined,Campbell Ave & Irving Park Rd,[],9,false,false,lightweight,41.95421,false,1594046431052911340,1594046431052911340,motivate_CHI_1594046431052911340,9,"4014, North Campbell Avenue, Ravenswood Gardens, North Center, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1594046431052911340
-87.690621,undefined,Rockwell St & Cermak Rd,[],9,false,false,lightweight,41.851644,false,1594046400988140228,1594046400988140228,motivate_CHI_1594046400988140228,9,"Little Caesars, 2601, West Cermak Road, Bohemian California, South Lawndale, Chicago, Cook County, Illinois, 60608, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1594046400988140228
-87.7157109,undefined,Central Park Ave & Douglas Blvd,[],9,false,false,lightweight,41.862355,false,1561012870126088744,1561012870126088744,motivate_CHI_1561012870126088744,9,"3611, West Douglas Boulevard, North Lawndale, Chicago, Cook County, Illinois, 60623, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1561012870126088744
-87.744082,undefined,Kilpatrick Ave & Parker Ave,[],9,false,false,lightweight,41.930736,false,1563698705501259788,1563698705501259788,motivate_CHI_1563698705501259788,9,"2727, North Kilpatrick Avenue, Beat 2522, Chicago, Jefferson Township, Cook County, Illinois, 60641, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1563698705501259788
-87.8118989,undefined,Oketo Ave & Addison St,[],9,false,false,lightweight,41.9449659,false,1571105042230683636,1571105042230683636,motivate_CHI_1571105042230683636,9,"7401-7403, West Addison Street, Dunning, Chicago, Jefferson Township, Cook County, Illinois, 60634, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1571105042230683636
-87.700259,undefined,Sacramento Blvd & Polk St,[],9,false,false,lightweight,41.870959,false,1594046388103238326,1594046388103238326,motivate_CHI_1594046388103238326,9,"2935, West Polk Street, East Garfield Park, Chicago, Cook County, Illinois, 60612, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1594046388103238326
-87.649345,undefined,S Aberdeen St & W 106th St,[],3,false,false,lightweight,41.701217,false,1448642162257565290,1448642162257565290,motivate_CHI_1448642162257565290,3,"Mount Vernon Elementary School, South Aberdeen Street, Washington Heights, Chicago, Cook County, Illinois, 60643, United States of America",CITY_PILOT_RACK,CHI,motivate_CHI_1448642162257565290
-87.725641,undefined,Komensky Ave & 31st St,[],9,false,false,lightweight,41.836708,false,1561012883010990646,1561012883010990646,motivate_CHI_1561012883010990646,9,"Komensky & 31st Street, South Komensky Avenue, South Lawndale, Chicago, Cook County, Illinois, 60623, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1561012883010990646
-87.7661217,undefined,Central Ave & Parker Ave,[],9,false,false,lightweight,41.9301785,false,1563698684026425330,1563698684026425330,motivate_CHI_1563698684026425330,9,"2715-2725, North Central Avenue, Beat 2514, Belmont Cragin, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1563698684026425330
-87.7436434,undefined,Kilpatrick Ave & Grand Ave,[],9,false,false,lightweight,41.9127779,false,1575949523863466728,1575949523863466728,motivate_CHI_1575949523863466728,9,"4701, West Grand Avenue, Beat 2523, Humboldt Park, Chicago, Jefferson Township, Cook County, Illinois, 60651, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1575949523863466728
-87.732463,undefined,Kostner Ave & 63rd St,[],9,false,false,lightweight,41.778747,false,1593766347538293666,1593766347538293666,motivate_CHI_1593766347538293666,9,"4354, West 63rd Street, West Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1593766347538293666
-87.7395332,undefined,Kilbourn & Roscoe,[],9,false,false,lightweight,41.9427319,false,1563698701206292486,1563698701206292486,motivate_CHI_1563698701206292486,9,"3402, North Kilbourn Avenue, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60641, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1563698701206292486
-87.739024,undefined,Kilbourn & Belden,[],9,false,false,lightweight,41.922352,false,1563698709796227088,1563698709796227088,motivate_CHI_1563698709796227088,9,"2257, North Kilbourn Avenue, Beat 2522, Hermosa, Chicago, Jefferson Township, Cook County, Illinois, 60641, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1563698709796227088
-87.8057657,undefined,Bloomingdale Ave & Harlem Ave,[],9,false,false,lightweight,41.9120739,false,1575949528158434034,1575949528158434034,motivate_CHI_1575949528158434034,9,"1731-1759, North Harlem Avenue, Austin, Chicago, Jefferson Township, Cook County, Illinois, 60707, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1575949528158434034
-87.6778387,undefined,Hoyne Ave & 34th St,[],9,false,false,lightweight,41.8320245,false,1582242311042651720,1582242311042651720,motivate_CHI_1582242311042651720,9,"3401, South Hoyne Avenue, Ducktown, McKinley Park, Chicago, Cook County, Illinois, 60609, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1582242311042651720
-87.7311301,undefined,Kildare & Cermak,[],9,false,false,lightweight,41.851478,false,1561012878716023344,1561012878716023344,motivate_CHI_1561012878716023344,9,"4234, West Cermak Road, North Lawndale, Chicago, Cook County, Illinois, 60804, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1561012878716023344
-87.663975,undefined,N Southport Ave & W Newport Ave,[],8,false,false,lightweight,41.944019,false,1436495115557663136,1436495115557663136,motivate_CHI_1436495115557663136,8,"3420-3424, North Southport Avenue, Wrigleyville, Lake View, Chicago, Cook County, Illinois, 60613, United States of America",CITY_PILOT_RACK,CHI,motivate_CHI_1436495115557663136
-87.7864806,undefined,Narragansett Ave & School St,[],9,false,false,lightweight,41.940128,false,1571105050820616196,1571105050820616196,motivate_CHI_1571105050820616196,9,"6465, West School Street, Dunning, Chicago, Jefferson Township, Cook County, Illinois, 60634, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1571105050820616196
-87.703446,undefined,Kedzie Ave & 52nd St,[],9,false,false,lightweight,41.7990641,false,1582242302452717116,1582242302452717116,motivate_CHI_1582242302452717116,9,"5153-5159, South Kedzie Avenue, Garfield Manor, Gage Park, Chicago, Lake Township, Cook County, Illinois, 60629, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1582242302452717116
-87.7163879,undefined,Central Park Ave & Ohio St,[],9,false,false,lightweight,41.8918718,false,1575949510978564830,1575949510978564830,motivate_CHI_1575949510978564830,9,"3544, West Ohio Street, Humboldt Park, Chicago, Cook County, Illinois, 60624, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1575949510978564830
-87.7321534,undefined,Kildare Ave & 26th St,[],9,false,false,lightweight,41.8442315,false,1561012895895892548,1561012895895892548,motivate_CHI_1561012895895892548,9,"McDonald's, 4334, West 26th Street, Crawford, South Lawndale, Chicago, Cook County, Illinois, 60623, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1561012895895892548
-87.688466,undefined,Western Ave & Grace St,[],9,false,false,lightweight,41.948759,false,1594046413873042132,1594046413873042132,motivate_CHI_1594046413873042132,9,"Waveland Bowl, 3700-3710;3700, North Western Avenue, North Center, Chicago, Lake View Township, Cook County, Illinois, 60618, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1594046413873042132
-87.644042,undefined,W Oakdale Ave & N Broadway,[],6,false,false,lightweight,41.935581,false,1436495100903691938,1436495100903691938,motivate_CHI_1436495100903691938,6,"2919-2935, North Broadway, Lincoln Park, Lake View, Chicago, Cook County, Illinois, 60657, United States of America",CITY_PILOT_RACK,CHI,motivate_CHI_1436495100903691938
-87.7313639,undefined,Tripp Ave & 15th St,[],9,false,false,lightweight,41.860777,false,1561012887305957952,1561012887305957952,motivate_CHI_1561012887305957952,9,"1451-1453, South Tripp Avenue, North Lawndale, Chicago, Cook County, Illinois, 60623, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1561012887305957952
-87.68955,undefined,Western Ave & Gunnison St,[],9,false,false,lightweight,41.969659,false,1594046443937813244,1594046443937813244,motivate_CHI_1594046443937813244,9,"West Gunnison Street, Bowmanville, Lincoln Square, Chicago, Lake View Township, Cook County, Illinois, 60625, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1594046443937813244
-87.724189,undefined,Komensky Ave & 55th St,[],9,false,false,lightweight,41.793279,false,1594041777104953202,1594041777104953202,motivate_CHI_1594041777104953202,9,"4012-4020, West 55th Street, West Elsdon, Chicago, Lake Township, Cook County, Illinois, 60629, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1594041777104953202
-87.7494873,undefined,Lamon Ave & Armitage Ave,[],9,false,false,lightweight,41.9166701,false,1563698692616359930,1563698692616359930,motivate_CHI_1563698692616359930,9,"4901-4915, West Armitage Avenue, Whiskey Point, Belmont Cragin, Chicago, Jefferson Township, Cook County, Illinois, 60639, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1563698692616359930
-87.701329,undefined,Whipple St & Roosevelt Rd,[],9,false,false,lightweight,41.866554,false,1594046405283107532,1594046405283107532,motivate_CHI_1594046405283107532,9,"3012, West Roosevelt Road, North Lawndale, Chicago, Cook County, Illinois, 60624, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1594046405283107532
-87.602938,undefined,Maryland Ave & 104th St,[],10,false,false,lightweight,41.705588,false,1448642183732401788,1448642183732401788,motivate_CHI_1448642183732401788,10,"Pullman Wheel Works, 833-901, East 104th Street, Chicago, Cook County, Illinois, 60628, United States of America",CITY_PILOT_RACK,CHI,motivate_CHI_1448642183732401788
-87.693013,undefined,Lincoln Ave & Balmoral Ave,[],9,false,false,lightweight,41.979461,false,1594046435347878644,1594046435347878644,motivate_CHI_1594046435347878644,9,"5356-5360, North Lincoln Avenue, Bowmanville, Lincoln Square, Chicago, Jefferson Township, Cook County, Illinois, 60645, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1594046435347878644
-87.6773211,undefined,Damen Ave & Wabansia Ave,[],8,false,false,lightweight,41.9122813,false,1521686986436309688,1521686986436309688,motivate_CHI_1521686986436309688,8,"1953, West Wabansia Avenue, Wicker Park, West Town, Chicago, Cook County, Illinois, 60622, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1521686986436309688
-87.7164901,undefined,Central Park & Augusta Blvd,[],9,false,false,lightweight,41.8989108,false,1575949515273532128,1575949515273532128,motivate_CHI_1575949515273532128,9,"956-958, North Central Park Avenue, Humboldt Park, Chicago, Cook County, Illinois, 60651, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1575949515273532128
-87.710238,undefined,Homan Ave & 65th St,[],9,false,false,lightweight,41.77446,false,1582242289567815212,1582242289567815212,motivate_CHI_1582242289567815212,9,"Eberhart School, West 65th Place, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",CITY_PILOT_RACK,CHI,motivate_CHI_1582242289567815212
